state,x2014,x2018,nme_2014_per1000,nme_2018_per1000,absolute_change,relative_change_pct
Alabama,0.6,0.8,6,8,2,33.3
Alaska,4.1,6.1,41,61,20,48.8
Arizona,4.7,5.3,47,53,6,12.8
Arkansas,1.1,1.6,11,16,5,45.5
Connecticut,1.6,2,16,20,4,25
Delaware,0.7,1.3,7,13,6,85.7
Florida,1.7,2.4,17,24,7,41.2
Georgia,1.7,2.6,17,26,9,52.9
Hawaii,3.2,3.1,32,31,-1,-3.1
Idaho,6.1,6.7,61,67,6,9.8
Illinois,1,1.4,10,14,4,40
Indiana,0.8,0.7,8,7,-1,-12.5
Iowa,1.2,1.8,12,18,6,50
Kansas,1.9,1.4,19,14,-5,-26.3
Kentucky,0.6,1.1,6,11,5,83.3
Louisiana,0.7,1,7,10,3,42.9
Maine,5.2,5,52,50,-2,-3.8
Maryland,0.7,0.9,7,9,2,28.6
Massachusetts,1.1,1.1,11,11,0,0
Michigan,5.4,4,54,40,-14,-25.9
Minnesota,1.7,3.4,17,34,17,100
Missouri,1.6,4.4,16,44,28,175
Montana,3.3,3.9,33,39,6,18.2
Nebraska,1.1,1.5,11,15,4,36.4
Nevada,2,3.1,20,31,11,55
New Hampshire,2.5,2.7,25,27,2,8
New Jersey,1.4,2,14,20,6,42.9
New Mexico,0.9,1.5,9,15,6,66.7
New York,0.6,1,6,10,4,66.7
North Carolina,0.9,1.8,9,18,9,100
North Dakota,2.3,3.1,23,31,8,34.8
Ohio,1.8,2.3,18,23,5,27.8
Oklahoma,1.4,1.8,14,18,4,28.6
Oregon,7,7.5,70,75,5,7.1
Pennsylvania,1.7,2.4,17,24,7,41.2
Rhode Island,0.7,1,7,10,3,42.9
South Carolina,1.2,1.8,12,18,6,50
South Dakota,1.6,2,16,20,4,25
Tennessee,1,1.4,10,14,4,40
Texas,1.4,1.8,14,18,4,28.6
Utah,4.2,5.2,42,52,10,23.8
Vermont,6.1,3.6,61,36,-25,-41
Virginia,0.4,1.1,4,11,7,175
Washington,3.6,3.9,36,39,3,8.3
Wisconsin,4.8,5.2,48,52,4,8.3
